,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,56secureusersbusinessbt.weebly.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,pintakasi.live,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,1,1
2,pintakasi.live,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,1,1
3,areaclienticred-info.preview-domain.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,credemsecurity-info.preview-domain.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,forms.zohopublic.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
6,preicfesconestilo.com,0,0,0,4,0,0,0,0,0,1,0,1,1,1,1,1,1
7,bakeryswap-ust.org,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
8,forms.zohopublic.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
9,forms.zohopublic.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
10,forms.zohopublic.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
11,forms.zohopublic.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
12,btwebmail045.weeblysite.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
13,asdfghjklertyui.weeblysite.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
14,sec-tool.net,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1
15,btmallitohh109486.weeblysite.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
16,btinternet-service.weebly.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
17,inpost-polska.order-id874568.xyz,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
18,webmail-109276.weeblysite.com,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
19,webmail-109276.weeblysite.com,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
20,polska-lnpost.id-391915.fun,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1
21,sites.google.com,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1
22,update.banjatranselvenia.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
23,solanart.ltd,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
24,forms.zohopublic.com,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
25,www2.aenoeusz.icu,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
26,btinternetnewupdate.weeblysite.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
27,webmail-108942.weeblysite.com,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
28,webmail-108942.weeblysite.com,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
29,dapptools.tech,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1
30,s.aenoeusn.icu,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
31,www2.aenoeuon.icu,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
32,forms.zohopublic.eu,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1
33,kerjasama.uinjkt.ac.id,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1
34,defivalidatedapp.com,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1
35,therapiasanjeevani.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
36,sites.google.com,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1
37,dental.inovenzo.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
38,inpost.track45724.cyou,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
39,inpost.track45724.click,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
40,inpost.track45724.xyz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
41,inpost.track45724.bond,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
42,poczta.track45724.bond,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
43,inpost.track12345.lol,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
44,aeocsen-aesmmen.cnyjchs.ne.pw,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
