,Subdomain_Level,Url_Length,Have_At_Sign,Have_Tilde_Symbol,No_Https,Having_IP,Domain_In_Subdomains,Domain_In_Paths,Http_In_Hostname,Double_Slash_In_Path,Num_Dots,Num_Dashes_In_Hostname,Num_Underscore,Num_Percent,Num_Query_Components,Num_Ampersand,Num_Hash,Num_Numeric_Chars,Path_Length,Query_Length,Num_Sensitive_Words,Ext_Favicon,Redirection,Tiny_URL,Prefix_Suffix,DNS,Domain_Age,Domain_End,Rank_Host,Rank_Country,Iframe,Mouse_Over,Right_Click,Forwarding
4998,1,72,0,0,0,0,1,1,0,0,2,0,0,0,2,1,0,26,1,46,0,0,0,0,0,0,1,1,1,1,0,0,0,0
12334,1,59,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,1,34,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
977,1,44,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,1,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5584,1,71,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,40,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
11929,1,53,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,29,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
5228,1,109,0,0,0,0,1,1,0,0,6,0,0,0,1,0,0,10,10,59,0,0,1,0,0,0,0,1,1,1,0,0,0,0
4706,1,70,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,4,37,0,0,0,0,0,1,1,1,1,1,0,0,0,0
2374,1,111,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,7,70,18,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4389,1,232,0,0,1,0,1,1,0,0,12,2,0,0,3,2,0,15,13,163,2,0,1,1,1,0,0,0,1,1,1,1,1,1
4676,1,753,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,141,9,719,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6670,1,93,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,10,68,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0
8703,1,25,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
5905,1,163,0,0,0,0,1,1,0,0,4,0,3,0,4,3,0,27,4,136,0,0,1,1,0,0,0,0,1,1,0,0,0,0
11363,1,104,1,0,0,0,0,1,0,0,4,0,2,0,3,2,0,7,9,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7328,1,42,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6458,1,38,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
13010,1,106,0,0,0,0,1,1,0,0,5,0,0,0,1,0,0,18,63,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6171,1,876,0,0,0,0,1,1,0,0,5,0,8,25,6,5,0,121,6,842,1,0,0,0,0,0,0,0,1,1,0,0,0,0
13768,1,70,1,0,0,0,1,1,0,0,4,1,0,0,1,0,1,6,23,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1735,1,45,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,12,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7064,1,44,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,4,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11763,1,41,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
13434,1,31,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
6180,1,47,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,7,16,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9944,1,20,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2284,1,375,0,0,1,0,1,1,0,0,8,0,10,3,8,7,0,68,53,287,2,0,1,1,0,0,0,1,1,1,0,0,0,0
11368,1,104,1,0,0,0,0,1,0,0,4,0,2,0,3,2,0,7,9,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6889,1,37,0,0,0,0,1,1,0,0,3,3,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
8931,1,30,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
8980,1,30,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
7757,1,57,0,0,1,0,0,1,0,1,3,0,2,0,1,0,0,3,26,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
7294,1,47,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,2,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
7545,1,57,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
6033,1,64,0,0,0,0,1,1,0,0,6,0,0,0,1,0,0,3,37,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
7969,1,45,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1970,1,43,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
12516,1,28,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
