Index,Domain,Domain_Length,Subdomain_Level,Url_Length,Url_Depth,Have_At_Sign,Have_Tilde_Symbol,No_Https,Having_IP,Domain_In_Subdomains,Domain_In_Paths,Http_In_Hostname,Double_Slash_In_Path,Num_Dots,Num_Dashes_In_Hostname,Num_Underscore,Num_Percent,Num_Query_Components,Num_Ampersand,Num_Hash,Num_Numeric_Chars,Path_Length,Query_Length,Num_Sensitive_Words,Ext_Favicon,Redirection,Tiny_URL,Prefix_Suffix,DNS,Domain_Age,Domain_End,Rank_Host,Rank_Country,Iframe,Mouse_Over,Right_Click,Forwarding,Label
0,1337x.to,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1337x.to,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,1337x.to,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,1337x.to,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
4,1337x.to,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,1337x.to,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6,1337x.to,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7,abc.go.com,10,1,10,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,abc.go.com,10,1,10,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,abcnews.go.com,14,1,14,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,adultfriendfinder.com,21,0,21,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,akhbarelyom.com,15,0,15,0,0,0,0,0,0,1,0,0,2,0,0,10,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,allrecipes.com,14,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,allrecipes.com,14,0,14,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,allrecipes.com,14,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,allrecipes.com,14,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,allrecipes.com,14,0,14,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,allrecipes.com,14,0,14,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,allrecipes.com,14,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,allrecipes.com,14,0,14,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,allrecipes.com,14,0,14,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,allrecipes.com,14,0,14,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,anandtech.com,13,0,13,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,archiveofourown.org,19,0,19,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,atwiki.jp,9,0,9,0,0,0,0,0,0,1,0,0,1,0,0,19,0,0,0,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
25,avxhome.se,10,0,10,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,bigcinema.tv,12,0,12,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
27,bigcinema.tv,12,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
28,bigcinema.tv,12,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
29,bleacherreport.com,18,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,caixa.gov.br,12,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
31,caixa.gov.br,12,0,12,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
32,caixa.gov.br,12,0,12,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,11,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
33,caixa.gov.br,12,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
34,caixa.gov.br,12,0,12,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
35,cheezburger.com,15,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,codecanyon.net,14,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,codecanyon.net,14,0,14,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,codecanyon.net,14,0,14,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,codecanyon.net,14,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,codecanyon.net,14,0,14,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
