iter	Passed	Remaining
0	171	170886
1	183	91440
2	195	64807
3	207	51627
4	219	43685
5	231	38335
6	243	34582
7	261	32439
8	273	30119
9	284	28174
10	297	26761
11	309	25466
12	322	24480
13	341	24059
14	354	23300
15	367	22622
16	380	21979
17	388	21212
18	419	21679
19	431	21139
20	443	20658
21	456	20275
22	467	19851
23	484	19708
24	490	19147
25	505	18933
26	518	18696
27	531	18448
28	545	18258
29	558	18052
30	571	17873
31	581	17604
32	595	17436
33	608	17294
34	622	17158
35	635	17030
36	666	17351
37	708	17946
38	724	17858
39	739	17739
40	745	17435
41	759	17314
42	773	17212
43	787	17103
44	801	17006
45	815	16909
46	822	16686
47	836	16598
48	852	16544
49	867	16479
50	879	16362
51	925	16868
52	941	16820
53	956	16762
54	963	16551
55	980	16531
56	997	16503
57	1012	16444
58	1026	16373
59	1046	16392
60	1066	16414
61	1086	16430
62	1104	16421
63	1117	16337
64	1155	16623
65	1178	16673
66	1200	16712
67	1217	16685
68	1232	16626
69	1240	16477
70	1258	16471
71	1276	16448
72	1296	16464
73	1315	16466
74	1335	16475
75	1347	16385
76	1360	16303
77	1378	16298
78	1415	16497
79	1435	16512
80	1451	16468
81	1468	16443
82	1494	16514
83	1511	16487
84	1526	16428
85	1537	16338
86	1554	16316
87	1573	16304
88	1590	16282
89	1607	16257
90	1623	16213
91	1675	16538
92	1690	16487
93	1705	16435
94	1722	16409
95	1736	16353
96	1751	16308
97	1768	16273
98	1783	16229
99	1797	16181
100	1813	16140
101	1828	16096
102	1841	16039
103	1863	16052
104	1902	16218
105	1919	16191
106	1950	16276
107	1960	16194
108	1980	16185
109	2007	16240
110	2027	16239
111	2049	16246
112	2067	16230
113	2096	16293
114	2112	16254
115	2126	16206
116	2166	16347
117	2180	16296
118	2195	16257
119	2210	16208
120	2226	16172
121	2242	16138
122	2253	16065
123	2267	16018
124	2281	15972
125	2295	15924
126	2310	15881
127	2325	15844
128	2332	15749
129	2347	15709
130	2356	15633
131	2370	15590
132	2392	15598
133	2406	15553
134	2420	15506
135	2428	15428
136	2443	15392
137	2460	15366
138	2473	15323
139	2489	15293
140	2503	15250
141	2516	15202
142	2528	15150
143	2541	15109
144	2555	15068
145	2568	15023
146	2581	14979
147	2594	14934
148	2608	14900
149	2623	14867
150	2665	14988
151	2679	14950
152	2694	14916
153	2707	14875
154	2721	14838
155	2736	14802
156	2749	14761
157	2762	14723
158	2770	14656
159	2779	14593
160	2792	14554
161	2804	14509
162	2814	14452
163	2827	14412
164	2840	14373
165	2854	14338
166	2867	14304
167	2894	14333
168	2903	14276
169	2911	14213
170	2924	14175
171	2937	14139
172	2946	14083
173	2959	14050
174	2973	14015
175	2982	13962
176	2993	13918
177	3005	13879
178	3013	13820
179	3025	13784
180	3038	13750
181	3048	13701
182	3057	13651
183	3067	13603
184	3080	13572
185	3093	13536
186	3105	13501
187	3119	13472
188	3134	13451
189	3149	13427
190	3165	13409
191	3178	13376
192	3186	13323
193	3195	13276
194	3200	13212
195	3210	13168
196	3219	13121
197	3225	13063
198	3237	13032
199	3250	13001
200	3262	12968
201	3276	12944
202	3290	12918
203	3300	12878
204	3314	12852
205	3327	12826
206	3344	12811
207	3373	12843
208	3379	12791
209	3388	12746
210	3400	12716
211	3415	12694
212	3429	12670
213	3443	12647
214	3456	12621
215	3472	12604
216	3487	12584
217	3502	12564
218	3516	12538
219	3530	12517
220	3537	12470
221	3545	12425
222	3558	12400
223	3569	12364
224	3577	12323
225	3590	12298
226	3612	12302
227	3640	12327
228	3654	12303
229	3668	12281
230	3676	12238
231	3687	12205
232	3702	12187
233	3716	12164
234	3731	12147
235	3746	12129
236	3756	12094
237	3772	12079
238	3787	12061
239	3798	12028
240	3813	12010
241	3829	11993
242	3842	11969
243	3868	11986
244	3875	11943
245	3889	11921
246	3902	11898
247	3916	11876
248	3931	11859
249	3946	11839
250	3956	11806
251	3965	11769
252	3974	11735
253	3989	11716
254	4003	11696
255	4015	11671
256	4020	11622
257	4028	11586
258	4037	11551
259	4049	11526
260	4062	11502
261	4070	11465
262	4079	11431
263	4089	11399
264	4129	11454
265	4139	11423
266	4152	11401
267	4174	11403
268	4188	11381
269	4197	11348
270	4209	11323
271	4217	11288
272	4227	11258
273	4236	11226
274	4247	11197
275	4268	11196
276	4275	11158
277	4288	11136
278	4303	11121
279	4316	11099
280	4323	11062
281	4335	11037
282	4362	11052
283	4369	11016
284	4378	10983
285	4390	10960
286	4400	10933
287	4409	10900
288	4419	10873
289	4432	10852
290	4444	10829
291	4457	10807
292	4461	10766
293	4470	10734
294	4481	10710
295	4494	10688
296	4506	10667
297	4516	10638
298	4529	10618
299	4537	10588
300	4545	10556
301	4555	10528
302	4566	10505
303	4580	10488
304	4623	10534
305	4637	10517
306	4651	10498
307	4660	10472
308	4676	10458
309	4691	10441
310	4701	10416
311	4717	10401
312	4731	10384
313	4745	10368
314	4760	10351
315	4775	10336
316	4789	10320
317	4806	10308
318	4825	10302
319	4862	10332
320	4874	10311
321	4890	10296
322	4929	10332
323	4942	10312
324	4954	10290
325	4967	10269
326	4978	10246
327	4988	10219
328	4996	10190
329	5005	10163
330	5012	10131
331	5025	10111
332	5041	10097
333	5054	10077
334	5067	10059
335	5104	10087
336	5117	10067
337	5129	10047
338	5138	10019
339	5150	9998
340	5161	9974
341	5168	9943
342	5181	9925
343	5190	9899
344	5205	9883
345	5218	9864
346	5233	9848
347	5248	9833
348	5258	9809
349	5267	9782
350	5281	9764
351	5295	9749
352	5303	9721
353	5310	9690
354	5343	9708
355	5351	9681
356	5361	9657
357	5373	9636
358	5383	9613
359	5392	9587
360	5402	9563
361	5415	9544
362	5424	9519
363	5434	9495
364	5446	9475
365	5457	9453
366	5471	9437
367	5476	9405
368	5487	9383
369	5492	9352
370	5502	9329
371	5515	9311
372	5530	9295
373	5544	9279
374	5552	9253
375	5562	9231
376	5594	9244
377	5604	9221
378	5612	9196
379	5621	9172
380	5633	9152
381	5642	9128
382	5649	9100
383	5659	9078
384	5669	9056
385	5681	9037
386	5694	9020
387	5730	9038
388	5739	9015
389	5754	9000
390	5768	8984
391	5777	8961
392	5789	8941
393	5798	8918
394	5809	8898
395	5835	8900
396	5847	8881
397	5860	8864
398	5869	8841
399	5882	8824
400	5892	8801
401	5901	8778
402	5910	8755
403	5914	8726
404	5927	8708
405	5937	8686
406	5946	8664
407	5955	8641
408	5963	8616
409	5972	8593
410	5983	8575
411	5993	8553
412	6005	8535
413	6013	8512
414	6021	8488
415	6030	8466
416	6039	8443
417	6048	8420
418	6056	8398
419	6089	8408
420	6098	8386
421	6107	8364
422	6113	8339
423	6120	8315
424	6131	8296
425	6141	8275
426	6155	8260
427	6166	8241
428	6178	8224
429	6191	8207
430	6204	8191
431	6216	8174
432	6224	8150
433	6234	8130
434	6241	8107
435	6248	8082
436	6258	8062
437	6271	8046
438	6283	8029
439	6293	8009
440	6303	7990
441	6333	7995
442	6345	7979
443	6357	7961
444	6372	7947
445	6386	7932
446	6400	7918
447	6410	7898
448	6419	7877
449	6432	7862
450	6441	7840
451	6449	7819
452	6457	7797
453	6469	7780
454	6483	7765
455	6493	7746
456	6503	7727
457	6515	7710
458	6525	7691
459	6535	7671
460	6542	7650
461	6554	7632
462	6587	7640
463	6598	7622
464	6611	7606
465	6631	7599
466	6643	7582
467	6654	7564
468	6665	7546
469	6676	7529
470	6688	7512
471	6702	7497
472	6708	7474
473	6716	7453
474	6727	7435
475	6740	7420
476	6755	7406
477	6770	7393
478	6782	7377
479	6794	7360
480	6858	7400
481	6871	7384
482	6883	7367
483	6894	7349
484	6904	7331
485	6915	7314
486	6926	7295
487	6936	7277
488	6950	7263
489	6955	7239
490	6967	7222
491	6978	7204
492	6992	7191
493	7003	7173
494	7014	7156
495	7023	7136
496	7029	7114
497	7039	7095
498	7049	7078
499	7069	7069
500	7080	7052
501	7088	7031
502	7097	7012
503	7107	6994
504	7118	6977
505	7132	6963
506	7142	6945
507	7153	6927
508	7162	6909
509	7173	6892
510	7180	6871
511	7190	6853
512	7204	6839
513	7212	6819
514	7222	6801
515	7237	6789
516	7247	6771
517	7262	6757
518	7273	6740
519	7288	6727
520	7332	6741
521	7349	6729
522	7361	6713
523	7372	6697
524	7384	6680
525	7395	6664
526	7406	6647
527	7416	6629
528	7426	6612
529	7437	6595
530	7447	6577
531	7457	6560
532	7467	6542
533	7480	6528
534	7490	6510
535	7504	6496
536	7514	6478
537	7528	6464
538	7534	6444
539	7543	6426
540	7569	6422
541	7579	6404
542	7588	6386
543	7599	6369
544	7612	6355
545	7622	6338
546	7633	6321
547	7640	6301
548	7650	6284
549	7660	6268
550	7670	6250
551	7680	6233
552	7689	6215
553	7698	6197
554	7705	6178
555	7713	6159
556	7720	6140
557	7729	6123
558	7740	6106
559	7752	6091
560	7761	6073
561	7770	6056
562	7779	6038
563	7789	6021
564	7814	6016
565	7830	6004
566	7839	5986
567	7848	5969
568	7862	5955
569	7872	5939
570	7882	5921
571	7892	5905
572	7901	5888
573	7911	5871
574	7926	5858
575	7935	5841
576	7944	5823
577	7953	5807
578	7963	5790
579	7971	5772
580	7981	5756
581	7989	5738
582	7998	5721
583	8007	5703
584	8015	5686
585	8029	5672
586	8059	5670
587	8070	5654
588	8082	5639
589	8092	5623
590	8098	5604
591	8107	5587
592	8121	5574
593	8135	5560
594	8145	5544
595	8156	5528
596	8163	5510
597	8171	5493
598	8180	5476
599	8190	5460
600	8201	5444
601	8214	5430
602	8228	5417
603	8239	5401
604	8250	5386
605	8262	5371
606	8272	5356
607	8284	5341
608	8333	5350
609	8344	5335
610	8360	5322
611	8370	5306
612	8382	5292
613	8393	5276
614	8403	5260
615	8413	5244
616	8426	5230
617	8436	5215
618	8456	5205
619	8467	5189
620	8477	5173
621	8487	5158
622	8498	5142
623	8507	5126
624	8516	5110
625	8527	5094
626	8557	5090
627	8571	5077
628	8581	5061
629	8591	5045
630	8601	5029
631	8611	5014
632	8620	4998
633	8630	4982
634	8640	4966
635	8647	4949
636	8654	4931
637	8660	4913
638	8667	4896
639	8677	4881
640	8687	4865
641	8697	4849
642	8711	4836
643	8720	4820
644	8727	4803
645	8736	4787
646	8746	4772
647	8757	4756
648	8767	4741
649	8774	4724
650	8788	4711
651	8808	4701
652	8821	4687
653	8831	4672
654	8840	4656
655	8850	4641
656	8860	4625
657	8872	4611
658	8887	4598
659	8897	4583
660	8911	4570
661	8921	4555
662	8931	4539
663	8942	4524
664	8952	4509
665	8960	4493
666	8973	4479
667	8985	4465
668	8995	4450
669	9009	4437
670	9018	4422
671	9027	4406
672	9053	4399
673	9063	4383
674	9074	4368
675	9083	4353
676	9092	4338
677	9106	4324
678	9119	4311
679	9129	4296
680	9138	4280
681	9148	4265
682	9158	4250
683	9171	4237
684	9181	4222
685	9192	4207
686	9206	4194
687	9217	4180
688	9226	4164
689	9236	4149
690	9246	4134
691	9256	4120
692	9267	4105
693	9304	4102
694	9313	4087
695	9324	4072
696	9339	4060
697	9350	4045
698	9360	4030
699	9370	4016
700	9381	4001
701	9392	3987
702	9403	3972
703	9417	3959
704	9427	3945
705	9437	3930
706	9448	3915
707	9458	3900
708	9469	3886
709	9478	3871
710	9488	3856
711	9496	3841
712	9506	3826
713	9516	3811
714	9541	3803
715	9551	3788
716	9561	3773
717	9572	3759
718	9580	3744
719	9591	3730
720	9597	3713
721	9609	3699
722	9619	3685
723	9629	3670
724	9637	3655
725	9644	3639
726	9653	3625
727	9664	3610
728	9673	3596
729	9683	3581
730	9690	3565
731	9701	3551
732	9711	3537
733	9721	3522
734	9732	3509
735	9743	3495
736	9757	3481
737	9795	3477
738	9808	3464
739	9819	3449
740	9832	3436
741	9839	3421
742	9853	3408
743	9864	3394
744	9872	3379
745	9882	3364
746	9892	3350
747	9901	3335
748	9916	3323
749	9930	3310
750	9940	3295
751	9949	3281
752	9959	3267
753	9967	3251
754	9977	3237
755	9984	3222
756	10000	3210
757	10037	3204
758	10051	3191
759	10062	3177
760	10072	3163
761	10084	3149
762	10098	3136
763	10108	3122
764	10120	3108
765	10130	3094
766	10140	3080
767	10150	3066
768	10160	3052
769	10173	3038
770	10185	3025
771	10199	3012
772	10213	2999
773	10223	2985
774	10234	2971
775	10244	2957
776	10257	2943
777	10296	2937
778	10306	2924
779	10317	2910
780	10328	2896
781	10338	2882
782	10353	2869
783	10367	2856
784	10383	2843
785	10397	2830
786	10412	2818
787	10421	2803
788	10430	2789
789	10442	2775
790	10460	2763
791	10470	2749
792	10481	2735
793	10491	2721
794	10501	2707
795	10527	2698
796	10542	2685
797	10555	2671
798	10569	2658
799	10578	2644
800	10587	2630
801	10596	2616
802	10606	2602
803	10627	2590
804	10643	2578
805	10656	2564
806	10670	2551
807	10685	2539
808	10699	2526
809	10713	2513
810	10727	2500
811	10750	2489
812	10773	2478
813	10790	2465
814	10801	2451
815	10815	2438
816	10824	2424
817	10839	2411
818	10854	2398
819	10865	2385
820	10877	2371
821	10888	2357
822	10900	2344
823	10910	2330
824	10920	2316
825	10931	2302
826	10942	2289
827	10952	2275
828	10963	2261
829	10978	2248
830	10993	2235
831	11025	2226
832	11035	2212
833	11045	2198
834	11056	2184
835	11066	2170
836	11077	2157
837	11088	2143
838	11099	2130
839	11111	2116
840	11122	2102
841	11133	2089
842	11146	2075
843	11158	2062
844	11169	2048
845	11180	2035
846	11196	2022
847	11207	2008
848	11216	1994
