,Have_IP,Have_At,URL_Length,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
14491,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
32901,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
12863,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
9817,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
35822,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
15270,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
8272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36789,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
27888,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
32782,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
16579,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
23834,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
35776,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
35864,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
31052,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27008,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
10754,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15134,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
13101,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5450,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23697,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
17645,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
39882,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1
3891,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
11907,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23814,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
5406,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
15858,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
8850,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23764,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
34692,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
21105,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
33528,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
10661,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11429,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2550,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
14022,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
1925,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
24990,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
11815,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
32054,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
15679,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
13849,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
2339,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
15122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23695,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
29466,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22384,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
10195,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26054,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
38714,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
6670,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
32340,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
27505,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
9425,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34131,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1199,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
9598,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2198,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9577,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17914,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40280,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
13019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37594,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
21681,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1
5004,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
23206,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
5623,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
7228,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
1315,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3022,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14904,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
40683,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
37653,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
8894,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
19286,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1
36607,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
35768,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37442,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1
37402,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
13843,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35264,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
14029,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
4080,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
30070,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30379,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1892,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
37900,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
20450,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31759,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6515,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
40593,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31105,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
849,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
17166,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11561,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
13950,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
14802,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
23733,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2187,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
15613,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
32088,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
37902,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
33332,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
9791,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
10327,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
34613,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
39668,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1005,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
20598,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
19001,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
29903,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16470,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31627,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1512,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
18882,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31047,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1
1386,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
26619,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
14589,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
32060,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
22485,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
10126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26722,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
13779,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
30717,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
23643,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33570,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
34194,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
36445,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
19800,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
4469,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
37866,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1
27248,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
16918,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
13321,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
16248,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11738,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
8782,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10848,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
26524,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
38068,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18985,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
31873,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
21026,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
26571,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7428,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
2071,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11128,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
9283,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
16049,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
6233,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
18362,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11552,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
7509,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
1586,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
6333,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
74,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
31957,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
23579,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
13653,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
9515,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40520,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
106,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
16620,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2882,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28115,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
30997,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
24104,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31736,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23586,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
22571,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
16288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17301,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
37584,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
