,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,asesoresvelfit.com,0,0,0,3,0,0,1,0,1,0,1,1,1,1,1,1,1
1,hissoulreason.com,0,0,0,4,0,0,0,0,1,0,1,1,1,1,1,1,1
2,unauthorizd.newebpage.com,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,1
3,133.130.103.10,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
4,dj00.co.vu,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1
5,133.130.103.10,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,1
6,httpssicredi.esy.es,0,0,1,5,0,1,0,0,1,0,1,1,1,1,1,1,1
7,gamesaty.ga,0,0,1,3,1,0,0,0,1,0,1,1,0,0,1,0,1
8,luxuryupgradepro.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,1
9,133.130.103.10,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
10,133.130.103.10,0,0,1,6,0,0,0,0,1,0,1,1,1,1,1,1,1
11,"smscaixaacesso.hol.es
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
12,133.130.103.10,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,1
13,tinyurl.com,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
14,wrightlandscapes.org,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,1
15,mautic.eto-cms.ru,0,0,1,5,0,0,0,1,1,0,1,1,1,1,1,1,1
16,ginatringali.com,0,0,1,5,1,0,0,0,1,0,1,1,1,1,1,1,1
17,staticmail.000webhostapp.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1
18,umeda.com.br,0,0,0,4,0,0,0,0,1,0,1,1,0,0,1,0,1
19,krishworldwide.com,0,0,1,5,0,0,0,0,1,0,1,1,0,0,1,0,1
20,yahoo.co.in,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1
21,avcc.ac.in,0,0,0,4,0,0,0,0,1,0,1,1,0,0,1,0,1
22,craig-hallum.ga,0,0,0,3,0,0,0,1,1,0,1,1,1,1,1,1,1
23,verification-mobile-nab.com,0,0,1,4,0,0,0,1,1,0,1,1,1,1,1,1,1
24,verification-mobile-nab.com,0,0,1,4,0,0,0,1,1,0,1,1,1,1,1,1,1
25,justpiddlinboutique.com,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
26,vcsolutionscorp.com,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
27,almasur.com,0,0,0,4,0,0,0,0,1,0,1,1,1,1,1,1,1
28,asesoresvelfit.com,0,0,0,4,0,0,1,0,1,0,1,1,1,1,1,1,1
29,getpeopleplus.com,0,0,1,4,0,0,0,0,1,0,1,1,1,1,1,1,1
30,taeamigo.com,0,0,0,4,0,0,0,0,1,0,1,1,0,0,1,0,1
31,elmundo-latino.com,0,0,0,2,0,0,0,1,1,0,1,1,1,1,1,1,1
32,sociopremiosedescontos.com,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
33,"cartaopremiadosicoob.com
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
34,ms-0ffice365supportplanquota.us.com0203499083934.elegantvapour.co.uk,0,0,1,5,0,0,0,1,1,0,1,1,1,1,1,1,1
35,travrica.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,1
36,system-tnc.esy.es,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
37,sandralucashyde.org,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,1
38,alexanderpetricek.com,0,0,1,4,0,0,0,0,1,0,1,1,1,1,1,1,1
39,di15.co.vu,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1
40,sicredisms.ignitiondomain.com,0,0,1,4,0,0,0,0,1,0,1,1,1,1,1,1,1
41,rajspaces.com,0,0,1,4,0,0,0,0,1,0,1,1,1,1,1,1,1
42,fb-systemapps.esy.es,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
43,signin-activitysupport.helpcenter-supportfraudsignin.com,0,0,1,4,0,0,0,1,1,0,1,1,1,1,1,1,1
44,citadelchurchjax.com,0,0,1,5,0,0,1,0,1,0,1,1,0,0,1,0,1
45,pradochaui.com.br,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,1
46,simnokomun.lt,0,0,1,6,0,0,0,0,1,0,1,1,0,0,1,0,1
47,di11.co.vu,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1
48,alligator.site,0,0,1,5,0,0,0,0,1,0,1,1,1,1,1,1,1
49,tinyurl.com,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
50,tinyurl.com,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
51,tr.im,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
52,gommetermiche.it,0,0,1,4,0,0,0,0,1,0,1,1,1,1,1,1,1
53,indonesianwonderagate.com,0,0,1,2,0,0,1,0,1,0,1,1,1,1,1,1,1
54,tinyurl.com,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
55,consultafgts.esy.es,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
56,ultrakoz.com,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,1
57,blackabba.com,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,1
58,carretroller.com.br,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
59,mamujutengahkab.go.id,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,1
60,sandralucashyde.org,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,1
61,extratoinativos.com,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
62,consultar-fgts.com,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1
63,portal-consultafgts.com,0,0,1,4,0,0,0,1,1,0,1,1,1,1,1,1,1
64,ni1232966-3.web20.nitrado.hosting,0,0,1,3,0,0,0,1,1,0,1,1,1,1,1,1,1
65,fgtsliberacao.com,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
66,jokextreme.com,0,0,1,2,0,0,0,0,1,0,1,1,1,1,1,1,1
67,fb-safetyhelp.esy.es,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
68,fb-securitypolicy101inc.esy.es,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
69,fb-securityaccountlogincheck808.esy.es,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
70,laghaimrevolution.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,1
71,settings-acct024631.esy.es,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
72,horizongarments.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,1
73,shittyurl.org,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
74,ni1232966-4.web16.nitrado.hosting,0,0,0,3,0,0,0,1,1,0,1,1,1,1,1,1,1
75,system-support-il.hol.es,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1
76,ow.ly,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
77,"caixaservicosonline.epizy.com
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
78,sandralucashyde.org,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,1
79,anniey06l5.myjino.ru,0,1,1,6,0,0,0,0,1,0,1,1,1,1,1,1,1
80,supportt-team.com,0,0,0,3,0,0,0,1,1,0,1,1,1,1,1,1,1
81,forms.zohopublic.com,0,0,1,5,0,0,0,0,1,0,1,1,0,0,1,0,1
82,surveybuilder.com,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,1
83,a.doko.moe,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
84,forms.zohopublic.com,0,0,1,5,0,0,0,0,1,0,1,1,0,0,1,0,1
85,muththamizh.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,1
86,cortazarurdaneta.com,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,1
87,chasebankusa.paradisepaymentgold.com,0,0,1,3,0,0,0,0,1,0,1,1,1,1,1,1,1
88,briut.fruitfuldemo.com,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
89,afraniorodriguezrosero.com,0,0,1,4,0,0,0,0,1,0,1,1,1,1,1,1,1
90,recovery-account-fb.hol.es,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1
91,verification-members.net,0,0,0,3,0,0,0,1,1,0,1,1,1,1,1,1,1
92,rajspaces.com,0,0,1,5,0,0,0,0,1,0,1,1,1,1,1,1,1
93,"promocao-sicoob.cf
",0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1
94,secure-fbpages-notification.com,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1
95,olcmeapp.com,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
96,support-110048480a.esy.es,0,0,0,2,0,0,0,1,1,0,1,1,1,1,1,1,1
97,lesaventuriersvoyageurs.com,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,1
98,restauracjagreenpepper.pl,0,0,1,3,1,0,0,0,1,0,1,1,1,1,1,1,1
99,scs-network.com,0,0,0,2,0,0,0,1,1,0,1,1,0,0,1,0,1
100,redux.news,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,1
101,cmfidouala.org,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,1
102,olcmeapp.com,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,1
