,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,liquidgeneration.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
1,onlineanime.org,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
2,ceres.dti.ne.jp,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
3,galeon.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
4,fanworkrecs.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
5,animehouse.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
6,www2.117.ne.jp,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0
7,archive.rhps.org,0,0,0,3,0,0,0,0,1,0,1,1,1,1,1,1,0
8,freecartoonsex.com,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
9,cutepet.org,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
10,taremeparadise.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
11,internetdump.com,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
12,"darkkaminari.net
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
13,iei.net,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0
14,www9.kinghost.com,0,0,0,3,0,0,1,0,1,0,1,1,0,0,1,0,0
15,jasonmeador.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0
16,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
17,angelfire.com,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
18,e.webring.com,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
19,"nemurokinenkan.net
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
20,j-heaven.tripod.com,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
21,angelfire.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0
22,thesheeparecoming.tripod.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
23,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
24,shokushu.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
25,geocities.com,0,0,1,4,0,0,0,0,1,0,1,1,0,0,1,1,0
26,hentaisocialclub.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
27,ryogamasaki.netfirms.com,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
28,members.tripod.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
29,hentai-comics.com,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0
30,jastusa.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
31,peachprincess.com,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
32,"g-collections.com
",0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
33,hentai-games.com,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
34,"canadahentai.com
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
35,"hirameki-int.com
",0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0
36,himeyashop.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
37,jlist.com,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
38,clubspooey.com,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0
39,"hentaigamer.com
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
40,"pcrdist.com
",0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0
41,densetsu.com,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
42,animetric.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
43,jmate.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
44,three-musketeers.net,0,0,1,2,0,0,0,1,1,0,1,1,1,1,1,1,0
45,"engbishoujo.tripod.com
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
46,somethingawful.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
47,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
48,"hentaigameszone.com
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
49,hentaineko.com,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
50,asahi-net.or.jp,0,0,0,2,0,0,0,1,1,0,1,1,0,0,1,0,0
51,geocities.com,0,0,1,4,0,0,0,0,1,0,1,1,0,0,1,1,0
52,commonastherain.com,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
53,angelfire.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0
54,discarnate.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
55,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
56,angelfire.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0
57,geocities.com,0,0,1,4,0,0,0,0,1,0,1,1,0,0,1,1,0
58,members.tripod.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
59,aoihayashi.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
60,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
61,cruelangel.net,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0
62,death_of_ase.tripod.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
63,orchidveil.net,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0
64,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
65,angelfire.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0
66,"yaoiluvr.net
",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
67,angelfire.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0
68,m.webring.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
69,onami.free.fr,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
70,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
71,p080.ezboard.com,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
72,pureyaoi.org,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
73,"gaytoon-japan.com
",0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
74,clubclassic.net,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
75,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
76,gongaga.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
77,angelfire.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,0
78,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
79,kinu-sekigushi.com,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
80,geocities.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0
81,community.livejournal.com,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
82,arachnoid.reverie-noire.com,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0
83,totchi.tripod.com,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
