iter	Logloss
0	0.6850195508
1	0.6768897674
2	0.6685767516
3	0.6608101719
4	0.6533579756
5	0.6461863425
6	0.6393355092
7	0.6329009843
8	0.6265381511
9	0.6204805444
10	0.614414701
11	0.6086287558
12	0.6030797212
13	0.5978316414
14	0.5928067906
15	0.5879583772
16	0.5831783777
17	0.5786740643
18	0.5745659759
19	0.570436561
20	0.5663238706
21	0.5622671013
22	0.5582439729
23	0.5546028142
24	0.5517134024
25	0.5482633656
26	0.5447369769
27	0.541650884
28	0.5384625805
29	0.5355339158
30	0.5327251011
31	0.5301535438
32	0.5274905798
33	0.5249979852
34	0.5225415539
35	0.5199067515
36	0.5174149476
37	0.5150435111
38	0.5130259835
39	0.5108295621
40	0.5087027044
41	0.5067858381
42	0.504867712
43	0.5029608247
44	0.5011590449
45	0.4992459861
46	0.4975568629
47	0.4958625379
48	0.4943381349
49	0.4926396322
50	0.4911189933
51	0.489441499
52	0.4878965315
53	0.4864334284
54	0.4849616169
55	0.4836057011
56	0.482178806
57	0.4809842907
58	0.479779299
59	0.4784644343
60	0.4772718745
61	0.4761487963
62	0.4750221024
63	0.4738116008
64	0.4726520119
65	0.4715427621
66	0.470405941
67	0.4692957319
68	0.4682573818
69	0.4672014928
70	0.4661772663
71	0.4654585675
72	0.4644114564
73	0.4634314092
74	0.4624768625
75	0.4615967292
76	0.4606869851
77	0.4597161277
78	0.4589158673
79	0.4582127942
80	0.4574165086
81	0.4566171665
82	0.4559089286
83	0.455249591
84	0.4544405723
85	0.4536583731
86	0.4529789522
87	0.4525005797
88	0.4517869322
89	0.4511504495
90	0.4504260676
91	0.4496588705
92	0.4489279026
93	0.4482627804
94	0.4475818341
95	0.446885223
96	0.4464398933
97	0.4458369143
98	0.4452227011
99	0.4446084469
100	0.4441024935
101	0.4434375472
102	0.4427637613
103	0.4421770019
104	0.4416368169
105	0.4410618756
106	0.4403986063
107	0.4399270532
108	0.4393861925
109	0.4389449456
110	0.4384006783
111	0.4378671728
112	0.4374482283
113	0.4372726097
114	0.4369815217
115	0.4364920082
116	0.4360377108
117	0.4356047007
118	0.4351453807
119	0.4346265713
120	0.4343214866
121	0.4340381031
122	0.4335024186
123	0.4332624875
124	0.4327624165
125	0.4323660895
126	0.4319446935
127	0.431468582
128	0.4310879133
129	0.4308649617
130	0.4304251929
131	0.4299136234
132	0.4294949539
133	0.4291520304
134	0.4288173519
135	0.4284708168
136	0.4280459021
137	0.4276854193
138	0.4272284536
139	0.4270708988
140	0.4267853921
141	0.4264107652
142	0.4260044907
143	0.4257290053
144	0.4254488598
145	0.4250489121
146	0.4247115372
147	0.4244264449
148	0.4240627886
149	0.4236559213
150	0.4233688785
151	0.4232240333
152	0.4228938517
153	0.4226225096
154	0.4222939831
155	0.4220222916
156	0.4218832449
157	0.4215680939
158	0.4212829167
159	0.4209993988
160	0.4206665264
161	0.4203444945
162	0.4200375491
163	0.4196910678
164	0.4194014511
165	0.4191161432
166	0.4187409976
167	0.4184506014
168	0.4181604267
169	0.4179241647
170	0.4176663597
171	0.4174278218
172	0.4171096245
173	0.4168776633
174	0.4165707972
175	0.4162613821
176	0.4160152362
177	0.4157437058
178	0.4155333079
179	0.4152398294
180	0.414953185
181	0.4146469736
182	0.4144508686
183	0.4142690169
184	0.4142353684
185	0.4140445707
186	0.4137315701
187	0.4135154727
188	0.4133434558
189	0.4131606301
190	0.4128007385
191	0.41256123
192	0.4123356865
193	0.4120681792
194	0.4118614703
195	0.4115763915
196	0.4113687779
197	0.4113351081
198	0.4111262787
199	0.410963302
200	0.4108730018
201	0.4106814947
202	0.4104924677
203	0.4104487965
204	0.4102103498
205	0.4100485184
206	0.4098372651
207	0.4096215971
208	0.409431757
209	0.4093655241
210	0.4091562539
211	0.4089711517
212	0.408741671
213	0.4084986329
214	0.4082495409
215	0.4080670625
216	0.4078282426
217	0.40760975
218	0.4074530608
219	0.4072684909
220	0.4071555892
221	0.4070248075
222	0.4068132276
223	0.4066001157
224	0.4064788226
225	0.4062175814
226	0.4061342226
227	0.4060153321
228	0.4058089282
229	0.4057678283
230	0.4055403395
231	0.4053488232
232	0.4052390422
233	0.4051343301
234	0.4049064448
235	0.4047598718
236	0.4046149718
237	0.4045658423
238	0.4043710757
239	0.4041753617
240	0.403997405
241	0.4038227363
242	0.4037972237
243	0.4035859405
244	0.4034306482
245	0.4032497468
246	0.4031706121
247	0.403068669
248	0.4029241862
249	0.4027509165
250	0.4026220907
251	0.4024578696
252	0.4023005171
253	0.4021770238
254	0.4020065792
255	0.4018973264
256	0.4018661445
257	0.4016649897
258	0.4015442306
259	0.4014239751
260	0.4012839314
261	0.4011690097
262	0.4010553698
263	0.4009195245
264	0.4007949012
265	0.4006987425
266	0.4005332703
267	0.4003836541
268	0.4002446731
269	0.4000721835
270	0.3999744216
271	0.3998750527
272	0.3998196016
273	0.399693591
274	0.399589979
275	0.3994527816
276	0.3992612921
277	0.3991263313
278	0.39894116
279	0.3987738982
280	0.3987084859
281	0.3986207928
282	0.3985034864
283	0.3983754882
284	0.398258857
285	0.3981811947
286	0.3981622638
287	0.3980523761
288	0.3979500165
289	0.397795485
290	0.3977097446
291	0.3976362351
292	0.3975250976
293	0.3974087579
294	0.3972520856
295	0.3971192055
296	0.3970007815
297	0.3969549129
298	0.3968559857
299	0.3967441266
300	0.3966254657
301	0.396496645
302	0.3963609828
303	0.396267328
304	0.3961262812
305	0.396015216
306	0.3959652483
307	0.3958458023
308	0.3956980757
309	0.3955882131
310	0.3954383623
311	0.395299019
312	0.3951765762
313	0.3950611125
314	0.3950275609
315	0.3949152936
316	0.394849992
317	0.3947688876
318	0.3947102997
319	0.3946428907
320	0.3945573566
321	0.3944205636
322	0.3943027115
323	0.3941847414
324	0.3940733472
325	0.3939637668
326	0.3938810927
327	0.3938549467
328	0.3937604865
329	0.393739426
330	0.3936462477
331	0.39354948
332	0.3934326735
333	0.3933308684
334	0.3932188859
335	0.3931335476
336	0.3931078894
337	0.3929719379
338	0.3928431749
339	0.3928244153
340	0.3928081941
341	0.3926914577
342	0.3926535972
343	0.3925966598
344	0.3925450088
345	0.3924583641
346	0.3924025456
347	0.3923184025
348	0.3921905904
349	0.3920606612
350	0.39199742
351	0.3919277674
352	0.3918269954
353	0.3917383975
354	0.3917336912
355	0.3917261225
356	0.3917072102
357	0.3916630218
358	0.3916584548
359	0.3916230471
360	0.3915644055
361	0.3914722685
362	0.3914276925
363	0.3913702786
364	0.3913554531
365	0.3913543583
366	0.3912806702
367	0.3912598541
368	0.3912149161
369	0.3912062562
370	0.391158297
371	0.3910758798
372	0.3909777644
373	0.3909339153
374	0.3908806289
375	0.3908155691
376	0.3907460653
377	0.390643267
378	0.390525814
379	0.3904746345
380	0.390390764
381	0.3902921558
382	0.3902178277
383	0.3901287335
384	0.3900225628
385	0.3899214502
386	0.3898604091
387	0.3898342899
388	0.3898101366
389	0.3897510972
390	0.389703664
391	0.3896616736
392	0.3896449811
393	0.389591178
394	0.3895457435
395	0.3895384457
396	0.3894453824
397	0.3893553842
398	0.3893185716
399	0.3892749037
400	0.3892371102
401	0.3891849269
402	0.3890784431
403	0.3890071203
404	0.3889399307
405	0.388907017
406	0.3888486278
407	0.3888043273
408	0.3887284688
409	0.3887180632
410	0.3886850353
411	0.3886506866
412	0.388579119
413	0.3885469193
414	0.3884664476
415	0.3883624478
416	0.3882666175
417	0.3882208692
418	0.3881835181
419	0.3881687067
420	0.3881400753
421	0.3880743031
422	0.388013531
423	0.3879582471
424	0.3879278137
425	0.3878215093
426	0.3877228589
427	0.3876429528
428	0.3875746081
429	0.3874924301
430	0.3874241284
431	0.3873470504
432	0.3872793992
433	0.387197644
434	0.3871209774
435	0.3870759437
436	0.3870706175
437	0.3870395345
438	0.3869849677
439	0.3869156983
440	0.3868354521
441	0.3867620183
442	0.3867029804
443	0.3866121299
444	0.3865522635
445	0.3864744516
446	0.3864090009
447	0.3863486847
448	0.3862970487
449	0.3862346047
450	0.3861933742
451	0.3861443582
452	0.3861114023
453	0.3860803323
454	0.3859984379
455	0.3859348141
456	0.3858968912
457	0.3858662718
458	0.3858320777
459	0.3857778737
460	0.3857376086
461	0.3857280274
462	0.3856703973
463	0.3856158363
464	0.385558944
465	0.3855016635
466	0.3854377744
467	0.3854086953
468	0.385343185
469	0.3852960946
470	0.3852638991
471	0.3852289719
472	0.3852017886
473	0.3851344039
474	0.3850930744
475	0.3850496407
476	0.3849900511
477	0.3849522242
478	0.3849209011
479	0.3848991988
480	0.3848726667
481	0.3848682909
482	0.3848384234
483	0.3848266992
484	0.3847694488
485	0.3847039694
486	0.3846584212
487	0.3846249662
488	0.384567761
489	0.3845561459
490	0.3845559145
491	0.3845446981
492	0.3844902516
493	0.3844265825
494	0.38439123
495	0.3843123549
496	0.384280007
497	0.384254764
498	0.3842199477
499	0.3841966477
500	0.3841460618
501	0.3840761438
502	0.3840674403
503	0.3840506984
504	0.3840447375
505	0.3840057687
506	0.3839508015
507	0.3838844741
508	0.3838826631
509	0.3838337877
510	0.3838037743
511	0.3837935051
512	0.3837140423
513	0.383672859
514	0.3836163015
515	0.3835638439
516	0.3835389726
517	0.3834965675
518	0.383443878
519	0.3833905895
520	0.38336924
521	0.3833028399
522	0.383257545
523	0.3831956834
524	0.3831254086
525	0.3830870557
526	0.383043548
527	0.3830056495
528	0.3829624728
529	0.382941537
530	0.3829176633
531	0.3828996631
532	0.3828519354
533	0.3828274872
534	0.3827893858
535	0.3827858302
536	0.3827557412
537	0.3827524995
538	0.3826769829
539	0.3826695189
540	0.3826394542
541	0.3826316853
542	0.3826133484
543	0.3825883107
544	0.3825184383
545	0.3824653838
546	0.3824056431
547	0.3823834852
548	0.3823835854
549	0.3823764293
550	0.3823205569
551	0.3823001268
552	0.3822959738
553	0.382295352
554	0.3822749027
555	0.3822153081
556	0.3821982179
557	0.3821921741
558	0.3821758428
559	0.3821545286
560	0.3820579987
561	0.3820366919
562	0.3820348547
563	0.3820280309
564	0.3819742238
565	0.3819351663
566	0.3818993811
567	0.3818575476
568	0.3818162631
569	0.3817966727
570	0.3817747232
571	0.3817402801
572	0.3817096715
573	0.3816665869
574	0.3816224457
575	0.3815735847
576	0.3815528835
577	0.381493238
578	0.3814733952
579	0.3814120668
580	0.381385289
581	0.3813501469
582	0.3813462079
583	0.3813170395
584	0.3812659596
