iter	Passed	Remaining
0	69	68959
1	80	40011
2	88	29279
3	96	23999
4	105	20956
5	114	19026
6	122	17388
7	130	16239
8	138	15235
9	146	14495
10	154	13931
11	163	13489
12	172	13072
13	177	12503
14	187	12285
15	193	11893
16	202	11721
17	214	11724
18	223	11530
19	230	11306
20	237	11071
21	246	10939
22	254	10813
23	264	10767
24	273	10656
25	282	10588
26	288	10387
27	298	10350
28	309	10378
29	317	10279
30	327	10232
31	337	10201
32	347	10184
33	357	10146
34	367	10121
35	372	9970
36	378	9846
37	387	9805
38	397	9784
39	405	9739
40	414	9705
41	419	9563
42	429	9548
43	432	9406
44	442	9396
45	449	9323
46	457	9281
47	465	9235
48	474	9209
49	482	9175
50	492	9162
51	500	9119
52	509	9106
53	517	9072
54	522	8985
55	527	8895
56	536	8883
57	542	8803
58	550	8777
59	559	8764
60	562	8654
61	574	8690
62	578	8596
63	583	8532
64	592	8526
65	603	8541
66	611	8514
67	621	8513
68	625	8436
69	632	8406
70	638	8351
71	645	8314
72	653	8293
73	661	8278
74	669	8262
75	676	8228
76	685	8221
77	691	8178
78	695	8105
79	703	8092
80	712	8083
81	717	8034
82	723	7989
83	727	7930
84	730	7866
85	735	7812
86	741	7777
87	745	7725
88	753	7713
89	761	7702
90	770	7694
91	774	7648
92	780	7615
93	788	7604
94	800	7622
95	808	7612
96	813	7576
97	821	7565
98	831	7566
99	838	7544
100	844	7517
101	851	7492
102	861	7503
103	865	7460
104	877	7475
105	885	7468
106	892	7446
107	898	7424
108	907	7416
109	916	7415
110	921	7381
111	930	7378
112	939	7375
113	947	7365
114	956	7358
115	963	7343
116	969	7313
117	978	7315
118	982	7275
119	992	7280
120	999	7264
121	1008	7257
122	1018	7258
123	1022	7223
124	1028	7201
125	1032	7160
126	1042	7167
127	1048	7144
128	1061	7166
129	1067	7140
130	1078	7154
131	1087	7149
132	1096	7149
133	1107	7159
134	1114	7140
135	1121	7122
136	1128	7111
137	1139	7119
138	1150	7127
139	1161	7134
140	1173	7150
141	1179	7129
142	1190	7135
