,Label
7380,1
209,0
5518,0
513,0
9769,1
12456,1
6778,1
1054,0
10228,1
717,0
6997,1
663,0
2768,0
9764,1
8501,1
5648,0
6676,1
10176,1
1599,0
9919,1
5776,0
7928,1
7644,1
7723,1
11176,1
13024,1
9421,1
12813,1
2678,0
6331,1
6855,1
5186,0
3180,0
10464,1
3269,0
314,0
7297,1
8535,1
4,0
7888,1
11110,1
2532,0
949,0
12844,1
2936,0
9554,1
8732,1
6512,1
7969,1
8006,1
1519,0
5888,0
9853,1
7236,1
9971,1
9700,1
2710,0
10062,1
8316,1
2875,0
10837,1
1434,0
8656,1
11978,1
10135,1
9152,1
11965,1
7901,1
11410,1
7614,1
7381,1
63,0
2341,0
430,0
12923,1
42,0
4110,0
532,0
12728,1
11811,1
11346,1
12518,1
377,0
12328,1
5273,0
10024,1
43,0
1058,0
9332,1
5582,0
38,0
12675,1
6361,1
7027,1
11040,1
12888,1
6238,0
8256,1
7576,1
5875,0
11743,1
10525,1
4735,0
615,0
12866,1
891,0
10871,1
4319,0
4707,0
8574,1
3934,0
11722,1
6023,0
1304,0
11827,1
5523,0
11708,1
6042,0
1246,0
9036,1
9490,1
11282,1
4636,0
8763,1
3256,0
6380,1
4654,0
12282,1
11471,1
12898,1
7628,1
8742,1
10667,1
7238,1
10432,1
10685,1
819,0
9890,1
2664,0
6008,0
1302,0
2568,0
1543,0
10883,1
2073,0
11179,1
5548,0
1579,0
4184,0
10142,1
4588,0
2883,0
12176,1
4605,0
10453,1
86,0
11880,1
5486,0
2340,0
3349,0
12612,1
3562,0
12929,1
3839,0
2704,0
2692,0
913,0
196,0
1957,0
12059,1
9862,1
4620,0
332,0
6526,1
5806,0
1061,0
12135,1
5650,0
4537,0
5955,0
3070,0
7241,1
1673,0
10090,1
95,0
4392,0
3394,0
4796,0
8262,1
12371,1
3486,0
3127,0
326,0
6355,1
11427,1
9,0
5684,0
9403,1
10498,1
10292,1
3071,0
1276,0
7309,1
12825,1
5863,0
9402,1
5769,0
5830,0
5284,0
1430,0
13042,1
370,0
8778,1
4286,0
7351,1
8071,1
7160,1
11083,1
6730,1
5782,0
4087,0
6470,1
12914,1
5512,0
900,0
5145,0
897,0
4241,0
8736,1
753,0
8033,1
10375,1
6623,1
12576,1
4790,0
10356,1
1868,0
278,0
236,0
3765,0
3002,0
253,0
826,0
12859,1
3768,0
5271,0
6947,1
1996,0
7195,1
6988,1
10511,1
10253,1
9040,1
9581,1
12320,1
12166,1
6704,1
8606,1
4924,0
11279,1
1545,0
2714,0
7805,1
7881,1
9125,1
12557,1
7952,1
6827,1
7416,1
2805,0
3354,0
1632,0
9064,1
4978,0
10134,1
4716,0
11403,1
10916,1
1779,0
6710,1
9061,1
2001,0
6980,1
8725,1
5800,0
7755,1
9840,1
5591,0
4972,0
8840,1
11191,1
868,0
9576,1
10389,1
1196,0
2525,0
10191,1
2320,0
6771,1
5011,0
2887,0
11212,1
4960,0
2946,0
235,0
635,0
1850,0
9894,1
5175,0
8957,1
9185,1
3482,0
12687,1
6419,1
1523,0
7619,1
37,0
936,0
10143,1
9358,1
5157,0
572,0
3338,0
11755,1
3259,0
5725,0
2913,0
3640,0
3991,0
362,0
2287,0
12775,1
8743,1
9298,1
5134,0
5415,0
10689,1
1515,0
7246,1
5248,0
6027,0
3700,0
6344,1
1459,0
11809,1
2659,0
12339,1
7604,1
1187,0
8731,1
10980,1
11641,1
4364,0
6171,0
501,0
10193,1
12491,1
7768,1
11348,1
4008,0
7425,1
5967,0
8779,1
2059,0
9729,1
12254,1
10368,1
8614,1
12256,1
9833,1
4529,0
7850,1
6316,1
170,0
2740,0
4793,0
3435,0
915,0
8692,1
4157,0
6693,1
11429,1
6089,0
10695,1
1769,0
5382,0
5202,0
4815,0
5809,0
9021,1
12215,1
9511,1
5250,0
1208,0
353,0
11123,1
440,0
4844,0
10499,1
9198,1
7269,1
6618,1
10021,1
4650,0
10079,1
2748,0
1124,0
11971,1
10600,1
9912,1
8575,1
7956,1
7551,1
10200,1
1334,0
11704,1
6857,1
9161,1
10723,1
2365,0
12140,1
3559,0
8329,1
892,0
1663,0
4538,0
12193,1
9127,1
8815,1
12629,1
969,0
10579,1
9444,1
5825,0
6474,1
710,0
11067,1
2808,0
6240,0
7986,1
4892,0
4963,0
10875,1
1789,0
8336,1
7046,1
1288,0
6448,1
3057,0
9431,1
1894,0
6890,1
10844,1
4293,0
11443,1
9265,1
9406,1
3004,0
12207,1
706,0
11693,1
12022,1
5540,0
2905,0
6035,0
8372,1
3878,0
8399,1
6709,1
4586,0
11379,1
2880,0
7751,1
5422,0
7778,1
9723,1
3410,0
5767,0
4009,0
9617,1
10098,1
6942,1
149,0
5032,0
4851,0
4431,0
561,0
3521,0
12861,1
7177,1
12701,1
4135,0
11628,1
12780,1
10927,1
7510,1
9433,1
2267,0
3143,0
582,0
5948,0
9585,1
7750,1
452,0
3243,0
7710,1
9548,1
7035,1
225,0
7565,1
3771,0
10939,1
12387,1
11300,1
9957,1
5108,0
6110,0
10603,1
7897,1
2228,0
1081,0
818,0
4437,0
11254,1
3218,0
2835,0
12817,1
2987,0
1729,0
9896,1
11532,1
8286,1
9685,1
10559,1
4073,0
8650,1
587,0
4049,0
10812,1
9311,1
3335,0
5165,0
10644,1
7541,1
5779,0
1197,0
6187,0
11831,1
11731,1
9232,1
11516,1
6432,1
10023,1
9263,1
9537,1
3036,0
3901,0
1903,0
7453,1
4252,0
11051,1
229,0
12532,1
211,0
737,0
4011,0
8585,1
7494,1
11896,1
12269,1
4678,0
5115,0
10766,1
416,0
6728,1
