,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
10852,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11216,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
12196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6802,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9404,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6702,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
6900,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
6360,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
7991,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2151,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
8331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11209,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6606,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7030,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
3137,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
2856,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0
8473,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
10202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4792,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1006,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0
7109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5782,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
11031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8352,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1179,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
2068,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
11508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3788,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7557,0,0,0,4,0,0,1,0,0,1,1,0,0,0,0
173,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
10513,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1340,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
6436,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11393,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
4216,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3537,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
4464,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8477,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3082,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10415,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11622,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11801,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5096,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0
942,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2538,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
4968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3312,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3174,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
9358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1542,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
11780,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
10492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2787,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
8719,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8884,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1551,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0
2754,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7224,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
4436,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
9360,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
8410,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
154,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
4888,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
9097,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5276,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
12302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9142,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6433,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
12095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7491,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
473,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
10890,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6424,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
2817,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4489,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
6611,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
4877,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0
8255,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11400,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
833,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
2519,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8871,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
4535,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7175,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
1191,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7208,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0
8645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11827,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8525,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11150,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9113,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9930,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6043,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
10713,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1345,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4536,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
12401,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4503,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4699,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5662,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1454,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1
4156,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
9821,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11061,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1867,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
1082,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
1592,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1607,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
11728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12777,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
727,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
7420,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
7145,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
8634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6181,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
3139,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1896,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1
10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4898,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8698,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2182,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1856,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7153,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1819,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
11301,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
887,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
4202,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3433,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3677,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
3309,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6960,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
9892,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7129,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
7668,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0
12236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11030,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6655,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7728,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
4136,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
10884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
978,0,0,0,4,0,0,0,0,0,0,1,1,1,1,1
9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2183,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
6982,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
4522,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
9705,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6736,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2410,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
6871,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
8495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9201,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3607,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2426,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
4905,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
8091,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7467,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
6455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5034,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6873,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6075,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0
4801,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
11846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9120,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
12658,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
9823,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3340,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
1016,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
11539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
11359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3214,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
5474,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3440,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4475,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11256,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7487,0,0,0,5,0,0,1,0,1,1,1,0,0,0,0
2361,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
11852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1931,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
