,Domain_Length,Subdomain_Level,Have_At_Sign,Have_Tilde_Symbol,No_Https,Having_IP,Domain_In_Subdomains,Domain_In_Paths,Http_In_Hostname,Double_Slash_In_Path,Num_Dots,Num_Dashes_In_Hostname,Num_Underscore,Num_Percent,Num_Query_Components,Num_Ampersand,Num_Hash,Num_Numeric_Chars,Num_Sensitive_Words,Ext_Favicon,Redirection,Tiny_URL,Prefix_Suffix,DNS,Domain_Age,Domain_End,Rank_Host,Rank_Country,Iframe,Mouse_Over,Right_Click,Forwarding
7380,11,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
209,9,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,22,0,0,0,0,0,0,0,1,1,1,0,0,0,0
5518,20,1,0,0,0,0,1,1,0,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
513,9,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,21,0,0,0,0,0,0,0,1,1,1,0,0,0,0
9769,5,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
12456,24,1,1,0,0,0,1,1,0,0,7,0,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6778,26,1,0,0,0,0,1,1,0,0,3,3,0,0,1,0,0,4,0,0,0,0,1,0,0,0,1,1,1,1,1,1
1054,15,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
10228,25,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
717,11,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
6997,11,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
663,26,1,0,0,1,0,1,1,0,1,3,0,0,0,1,0,0,25,0,0,1,0,0,0,0,0,1,1,0,0,0,0
2768,26,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9764,27,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8501,6,1,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,10,0,0,1,0,0,0,0,0,1,1,0,0,0,0
5648,7,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6676,20,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,12,0,0,0,0,0,0,1,1,1,1,0,0,0,0
10176,21,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1599,18,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9919,7,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
