iter	Logloss
0	0.5691932042
1	0.504981679
2	0.4719812938
3	0.4530545327
4	0.4409862414
5	0.4310083231
6	0.4232262693
7	0.4180858637
8	0.4119019711
9	0.4090766019
10	0.4046668799
11	0.401193749
12	0.3977559179
13	0.3956695718
14	0.3928478814
15	0.3916750395
16	0.3896864721
17	0.3890507024
18	0.3880659361
19	0.3874177665
20	0.3865275911
21	0.3852422288
22	0.3849009507
23	0.3842898216
24	0.384224766
25	0.3836331955
26	0.3830066708
27	0.3824106945
28	0.3811186855
29	0.3802438543
30	0.3794537136
31	0.3793346448
32	0.3784367535
33	0.3779394104
34	0.3774123213
35	0.3769201424
36	0.3767665566
37	0.3767179313
38	0.3764275484
39	0.3759905672
40	0.3759867218
41	0.3756143428
42	0.3755146633
43	0.3749599402
44	0.3744444784
45	0.3741667666
46	0.3740891053
47	0.3738519125
48	0.3733923204
49	0.3731356868
50	0.3729347921
51	0.3728732252
52	0.372091105
53	0.3716788582
54	0.3716765327
55	0.3715266217
56	0.3712699743
57	0.3711570449
58	0.3710958295
59	0.3707618206
60	0.3703169
61	0.3702840501
62	0.3700237845
63	0.370000302
64	0.3699486249
65	0.3697582331
66	0.369697125
67	0.3696703302
68	0.3696573963
69	0.3696544855
70	0.369529261
71	0.3694326394
72	0.3692600216
73	0.3692002036
74	0.3690130584
75	0.36900564
76	0.3689981501
77	0.3688120359
78	0.3687933385
79	0.3687722392
80	0.3687058024
81	0.3686950769
82	0.3686162339
83	0.3686015018
84	0.3685516716
85	0.3685261376
86	0.3683588403
87	0.3682351903
88	0.3680804379
89	0.367927919
90	0.367883322
91	0.3677154691
92	0.367588799
93	0.3675325371
94	0.3674192215
95	0.3674003103
96	0.3672321239
97	0.3669921899
98	0.366877226
99	0.3667974726
100	0.3667613284
101	0.3667199168
102	0.3666892452
103	0.3666572262
104	0.3666192202
105	0.3665259785
106	0.3664915496
107	0.3664900052
108	0.3664114607
109	0.3663953553
110	0.3663123096
111	0.3662114746
112	0.3661503617
113	0.3660679578
114	0.3660330373
115	0.3659992152
116	0.3659562384
117	0.3659153613
118	0.3658332136
119	0.3658229023
120	0.3657836563
121	0.3657566584
122	0.3657492918
123	0.3656963125
124	0.365689449
125	0.365680755
126	0.365475965
127	0.3654266414
128	0.3654259745
129	0.3654148887
130	0.3654127594
131	0.3653810016
132	0.3653794338
133	0.3653493084
134	0.3653476409
135	0.365346707
136	0.3653103829
137	0.3652831757
138	0.3652596681
139	0.3652395858
140	0.3652097583
141	0.3651766425
142	0.3651714884
143	0.3651344214
144	0.3650462504
145	0.3649994715
146	0.3649533369
147	0.3649323944
148	0.3649045974
149	0.3648974145
150	0.3648863748
151	0.3648546869
152	0.3648123651
153	0.3648071729
154	0.3647959724
155	0.364783789
156	0.3647730804
157	0.3647557149
158	0.3647544119
159	0.3647541523
160	0.3647521354
161	0.3647499939
162	0.3647497558
163	0.3647403317
164	0.3647128947
165	0.3646913706
166	0.3646834569
167	0.3646779457
168	0.3646782654
169	0.3646778766
170	0.3646272932
171	0.3645800995
172	0.3645802855
173	0.3645641976
174	0.3645523972
175	0.3645524946
176	0.3645505031
177	0.36452435
178	0.3645236021
179	0.3645217288
180	0.3644818697
181	0.3644817861
182	0.3644816799
183	0.364481546
184	0.3644777525
185	0.3644709602
186	0.36446723
187	0.3644662745
188	0.3644654522
189	0.3643940976
190	0.3643848756
191	0.364378354
192	0.3643781639
193	0.3643774269
194	0.3643768745
195	0.3643768742
196	0.364376871
197	0.3643764675
198	0.3643683406
199	0.3643663367
200	0.364364562
201	0.3643622706
202	0.3643596395
203	0.3643596242
204	0.3643550293
205	0.36435384
206	0.3643303614
207	0.3643286158
208	0.3643285883
209	0.3643284058
210	0.3643275495
211	0.3643161459
212	0.364286193
213	0.3642809529
214	0.3642791367
215	0.3642644497
216	0.3642519192
217	0.3642486612
218	0.3642465675
219	0.364226353
220	0.3642251388
221	0.364223046
222	0.3642194227
223	0.3642195447
224	0.3642190225
225	0.3641889663
226	0.3641675863
227	0.3641593539
228	0.364157203
229	0.3641509054
230	0.3641508659
231	0.3641508418
232	0.3641500233
233	0.3641420437
234	0.3640980565
235	0.3640561057
236	0.3640548761
237	0.3640202373
238	0.3639495844
239	0.3639495844
240	0.3639390011
241	0.3638820434
242	0.3638761855
243	0.3638556175
244	0.3638556855
245	0.3638089586
246	0.3638021097
247	0.3637801307
248	0.3637756065
249	0.363774522
250	0.3637745319
251	0.3637743392
252	0.3637743995
253	0.3637546689
254	0.3637404729
255	0.3637334483
256	0.3637337395
257	0.3637338577
258	0.3637337475
259	0.3637104683
260	0.3636719412
261	0.3636719993
262	0.3636721132
263	0.363671833
264	0.3636706914
265	0.3636709502
266	0.3636613023
267	0.3636570931
268	0.3636375482
269	0.3636374224
270	0.3636361887
271	0.3636360963
272	0.3636363725
273	0.363635937
274	0.3636357709
275	0.3636324837
276	0.3636323381
277	0.3636275541
278	0.3636246497
279	0.3636046501
280	0.3636037477
281	0.3635897165
282	0.3635887881
283	0.3635882804
284	0.363588554
285	0.3635883129
286	0.3635883007
287	0.3635881938
288	0.3635882243
289	0.3635831188
290	0.363571852
291	0.3635704702
292	0.3635701694
293	0.3635704531
294	0.3635664
295	0.3635412713
296	0.3635379602
297	0.3635357809
298	0.3635304647
299	0.3635306127
300	0.3635308388
301	0.3635311293
302	0.3635291278
303	0.3635245652
304	0.363523816
305	0.3635051957
306	0.3635006369
307	0.3635006118
308	0.3634795647
309	0.3634472188
310	0.3634472843
311	0.3634299579
312	0.3634247972
313	0.363370292
314	0.3633527626
315	0.3633521304
