Index,Domain,Have_IP,Have_At,URL_Length,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,xs4all.nl,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1,railwaypreservation.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,williamsbusandspecialty.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,users.skynet.be,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
4,nettilinja.fi,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
5,ytv.fi,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
6,cityvision2000.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
7,tram.ruz.net,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
8,viarail.ca,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,stm.info,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
10,toronto.ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,regina.ca,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,hamilton.ca,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
13,mta.info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,auburn.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,hsvcity.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,muni.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,tempe.gov,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
18,ci.norwalk.ca.us,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
19,fcgov.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
20,ccrpa.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,apta.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,cityofmeriden.org,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
23,co.palm-beach.fl.us,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
24,talgov.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,co.miami-dade.fl.us,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
26,wichitagov.org,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27,southportland.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,lincoln.ne.gov,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29,monorails.org,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
30,unh.edu,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
31,panynj.gov,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
32,co.westchester.ny.us,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
33,nyc.gov,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
34,ncdot.gov,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
35,tp.ohio-state.edu,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
36,okladot.state.ok.us,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,ci.knoxville.tn.us,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
