,Domain_Length,Subdomain_Level,Have_At_Sign,Have_Tilde_Symbol,No_Https,Having_IP,Domain_In_Subdomains,Domain_In_Paths,Http_In_Hostname,Double_Slash_In_Path,Num_Dots,Num_Dashes_In_Hostname,Num_Underscore,Num_Percent,Num_Query_Components,Num_Ampersand,Num_Hash,Num_Numeric_Chars,Num_Sensitive_Words,Ext_Favicon,Redirection,Tiny_URL,Prefix_Suffix,DNS,Domain_Age,Domain_End,Rank_Host,Rank_Country,Iframe,Mouse_Over,Right_Click,Forwarding
5679,14,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,68,1,0,0,1,0,0,0,0,1,1,0,0,0,0
2802,18,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
943,9,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
11302,16,1,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
2718,13,1,0,0,0,0,0,1,0,0,1,0,0,0,3,2,0,32,0,0,0,0,0,0,0,0,1,1,0,0,0,0
714,8,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
11431,21,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12114,20,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0
5876,23,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
7059,20,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5180,17,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,58,0,0,0,1,0,0,0,0,1,1,0,0,0,0
10895,29,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,6,0,0,0,1,0,0,0,1,1,1,0,0,0,0
7648,53,1,0,0,0,0,1,1,0,0,3,3,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0
10787,12,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
5649,17,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9470,18,1,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
10438,16,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11925,49,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
181,19,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7693,28,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5885,20,1,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,25,0,0,0,0,0,1,1,1,1,1,0,0,0,0
8764,16,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,1,1,1,1,1
12955,24,1,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2676,16,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9145,16,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9068,16,1,0,0,1,0,0,1,0,0,1,0,1,0,9,8,0,44,0,0,0,0,0,0,0,0,1,1,0,0,0,1
3581,17,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9600,6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
5861,21,1,0,0,0,0,1,1,0,0,3,0,8,0,3,2,0,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0
7287,21,1,0,0,1,0,1,1,0,0,3,0,3,0,2,1,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2012,12,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
12274,24,1,1,0,0,0,1,1,0,0,5,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1675,16,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10279,25,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8651,9,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7569,12,1,0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
10350,20,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,15,0,0,0,0,0,0,0,1,1,1,0,0,0,0
10923,10,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1955,15,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9878,7,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0
5203,14,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12705,30,1,0,0,0,0,1,1,0,0,5,0,0,0,2,1,0,4,0,0,0,1,0,1,1,1,1,1,0,0,0,0
7629,13,1,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5815,13,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5438,12,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9721,46,1,0,0,0,0,1,1,0,0,2,5,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
7153,30,1,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,1,1,1,1
8287,24,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9744,12,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,3,0,0,0,1,0,0,1,1,1,1,0,0,0,0
9196,10,1,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1216,9,1,0,0,1,0,1,1,0,0,2,0,3,0,1,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1
7481,77,1,0,0,1,0,1,1,0,0,3,1,0,0,1,0,0,10,1,0,0,0,1,0,0,1,1,1,0,0,0,0
688,19,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11753,15,1,1,0,1,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
2456,14,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0
11455,22,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9679,14,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9184,6,1,1,0,0,0,0,1,0,0,7,0,2,0,3,2,0,16,0,0,1,0,0,0,0,0,1,1,0,0,0,0
11428,7,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
12821,23,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
9236,17,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
7201,31,1,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,1,1,1,1
443,22,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2580,6,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
498,10,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
11489,16,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,19,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6137,16,1,0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8744,15,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9357,15,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10929,19,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
4220,14,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,1
11181,18,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8681,20,1,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
2949,23,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0
255,7,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,24,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1560,24,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3579,12,1,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,9,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1845,17,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
