,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
5526,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
4113,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0
9850,0,0,1,7,0,0,0,0,0,1,0,0,1,0,1,0
5984,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
7410,0,0,1,7,0,0,1,0,1,0,1,1,1,0,1,0
3244,0,0,1,7,0,0,1,0,0,1,0,0,0,0,1,1
8677,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
264,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0
1978,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0
7333,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
3565,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
2036,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0
6292,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9161,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0
7534,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0
9895,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0
8261,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
9261,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0
418,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0
1135,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0
7799,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
2670,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,1
246,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1
4178,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,1
5257,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
6476,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
8775,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0
9576,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
7806,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0
2986,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0
2373,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1
416,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0
8147,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0
5111,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
6686,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1
9933,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
7830,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0
