Index,Domain,Subdomain_Level,Url_Length,Url_Depth,Have_At_Sign,Have_Tilde_Symbol,No_Https,Having_IP,Domain_In_Subdomains,Domain_In_Paths,Http_In_Hostname,Double_Slash_In_Path,Num_Dots,Num_Dashes_In_Hostname,Num_Underscore,Num_Percent,Num_Query_Components,Num_Ampersand,Num_Hash,Num_Numeric_Chars,Path_Length,Query_Length,Num_Sensitive_Words,Ext_Favicon,Redirection,Tiny_URL,Prefix_Suffix,DNS,Domain_Age,Domain_End,Rank_Host,Rank_Country,Iframe,Mouse_Over,Right_Click,Forwarding,Label
0,google.com,1,43,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,7,13,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1,google.com,1,36,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,7,6,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2,google.com,1,41,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,7,11,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
3,bilnet.eu,1,16,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
4,bil-privatebanking.eu,1,28,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0
5,banqueinternationalealuxembourg.eu,1,41,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
6,bil-pb.eu,1,16,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0
7,n26.com,1,21,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
8,faturacartaoluiza.com.br.admin-mcas-df.ms,1,48,0,0,0,1,0,1,1,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
9,ebanking-ch1.ubs.com,1,68,2,0,0,0,0,1,1,0,0,3,1,0,0,2,1,0,1,33,6,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0
10,bitflyer.com:443,1,31,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,7,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
11,bitflyer.jp,1,19,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
12,aave.com,1,17,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
13,evri.com,1,21,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
14,vystarsucks.com,1,24,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,trk.ixfr.com,1,106,4,0,0,1,0,1,1,0,0,2,0,3,0,1,0,0,9,87,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16,virustotal.com,1,60,3,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,1,34,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
17,iconnect.co.in,1,27,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
18,api.regalapatadeelefante.mx,1,139,2,0,0,0,0,1,1,0,0,3,0,3,0,1,0,0,18,104,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
19,api.regalapatadeelefante.mx,1,124,2,0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,9,89,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
20,api.regalapatadeelefante.mx,1,148,2,0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,15,113,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
21,regalapatadeelefante.mx,1,49,2,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
22,google.com,1,40,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,7,10,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
23,static.wixstatic.com,1,188,6,0,1,0,0,1,1,0,0,7,0,10,0,1,0,0,60,160,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
24,static.wixstatic.com,1,188,6,0,0,0,0,1,1,0,0,7,0,10,0,1,0,0,70,160,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,cfe-recibo.com.mx,1,50,2,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,21,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
26,google.com,1,41,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,7,11,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
27,myheritage.com,1,27,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
28,connect.intuit.com,1,194,5,0,0,0,0,1,1,0,0,2,0,1,0,2,1,0,61,136,31,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
29,links.notification.intuit.com,1,1061,2,0,0,1,0,1,1,0,0,3,0,1,0,1,0,0,184,9,1015,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
30,lepetitjournal.com,1,200,2,0,0,0,0,0,1,0,0,1,0,3,0,3,2,0,6,96,77,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
31,track.news.lepetitjournal.com,1,98,5,0,0,1,0,1,1,0,0,3,0,0,0,1,0,0,33,62,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
32,emails.gelderland.nl,1,236,4,0,0,0,0,1,1,0,0,2,0,4,0,2,1,0,46,114,93,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
33,google.com,1,43,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,7,13,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
34,phishtank.org,1,55,1,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,7,17,16,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
35,breezyloans.com.au,1,31,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
36,popeye.madworld.io,1,27,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
37,sbevision.site,1,21,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
38,itau.com.br,1,58,3,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
39,google.com,1,40,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,7,10,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
40,verso.finance,1,22,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
41,verso.finance,1,30,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
42,line.me,1,32,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
43,lin.ee,1,22,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
