,Label
7312,1
4402,0
2838,0
5514,1
4856,0
4878,0
1743,0
7022,1
2300,0
9212,1
9407,1
3097,0
4902,0
9240,1
6336,1
9718,1
6162,1
2921,0
3182,0
9444,1
1690,0
3840,0
6094,1
1213,0
5676,1
4545,0
5361,1
3807,0
2753,0
1646,0
9751,1
7308,1
575,0
8400,1
4710,0
8599,1
8383,1
6833,1
1789,0
147,0
4107,0
9489,1
2347,0
1733,0
7894,1
6484,1
6035,1
5910,1
3769,0
1608,0
8126,1
8616,1
5148,1
3917,0
9304,1
940,0
5810,1
7347,1
1067,0
9016,1
4532,0
601,0
9321,1
4926,0
7053,1
9482,1
6467,1
4351,0
5806,1
8445,1
1736,0
7346,1
6021,1
1078,0
7530,1
8781,1
5008,1
5925,1
4249,0
765,0
9066,1
5680,1
8654,1
8630,1
9411,1
7179,1
2391,0
5595,1
533,0
2913,0
3088,0
2833,0
9226,1
7820,1
1714,0
7525,1
7600,1
7690,1
6016,1
6765,1
3052,0
4191,0
3381,0
6585,1
711,0
7744,1
9208,1
5012,1
9525,1
8959,1
2118,0
8379,1
3501,0
7224,1
6894,1
74,0
1,0
3781,0
4857,0
7763,1
4688,0
1461,0
3326,0
274,0
5846,1
1134,0
1065,0
5249,1
7392,1
5015,1
3641,0
6751,1
7237,1
2270,0
6913,1
9436,1
3255,0
2812,0
1999,0
1105,0
3357,0
5447,1
59,0
7088,1
7270,1
4881,0
8114,1
7757,1
7699,1
8436,1
8884,1
7176,1
4171,0
4310,0
527,0
9712,1
4697,0
47,0
7575,1
8221,1
5171,1
9012,1
6683,1
9338,1
7291,1
6211,1
4151,0
8894,1
675,0
9284,1
5095,1
4268,0
8228,1
2727,0
5989,1
7638,1
9969,1
4848,0
213,0
5410,1
8952,1
2048,0
9539,1
4967,0
8056,1
7800,1
6174,1
3933,0
5089,1
546,0
6400,1
7249,1
5995,1
8865,1
8092,1
4583,0
9034,1
872,0
5856,1
8280,1
7620,1
290,0
6960,1
7805,1
886,0
4006,0
9837,1
3946,0
491,0
2814,0
5738,1
0,0
3333,0
7778,1
7253,1
3670,0
1287,0
5037,1
4949,0
8046,1
1874,0
9089,1
2570,0
3954,0
7318,1
2717,0
7833,1
2820,0
6103,1
7026,1
1103,0
6731,1
7034,1
3793,0
5790,1
5295,1
2843,0
3580,0
4843,0
2869,0
669,0
5078,1
9238,1
2041,0
3040,0
1949,0
2106,0
9618,1
4142,0
118,0
8537,1
5899,1
2071,0
6889,1
1524,0
7637,1
4814,0
1676,0
1420,0
6832,1
1046,0
2883,0
10,0
6990,1
1477,0
5912,1
311,0
5579,1
6448,1
6518,1
3145,0
2047,0
6345,1
2201,0
3535,0
5552,1
5229,1
1639,0
250,0
6943,1
5243,1
8270,1
9897,1
7597,1
4020,0
2510,0
8437,1
9920,1
9815,1
3115,0
1049,0
5170,1
5574,1
7901,1
6342,1
122,0
6291,1
5559,1
9191,1
2508,0
5670,1
5442,1
2768,0
5397,1
9533,1
6237,1
3655,0
9735,1
3168,0
4047,0
8158,1
1837,0
4893,0
3235,0
5642,1
7225,1
9770,1
7574,1
2942,0
9830,1
1346,0
4917,0
5895,1
5167,1
3405,0
7125,1
7627,1
3160,0
3031,0
7377,1
2617,0
8966,1
2066,0
2331,0
4731,0
2024,0
2979,0
3735,0
6234,1
6855,1
8019,1
892,0
9371,1
1666,0
3882,0
9379,1
6867,1
4727,0
2073,0
3613,0
185,0
3146,0
1906,0
797,0
3854,0
5371,1
2723,0
6527,1
9708,1
7718,1
9804,1
8598,1
413,0
414,0
4470,0
1542,0
484,0
3199,0
3460,0
9570,1
1289,0
107,0
1850,0
7228,1
6474,1
9332,1
6392,1
4005,0
6583,1
3810,0
682,0
706,0
9059,1
1377,0
5376,1
5294,1
1808,0
4676,0
3999,0
5658,1
2978,0
3294,0
4386,0
3503,0
9540,1
7884,1
4320,0
1786,0
755,0
2236,0
3526,0
7762,1
9565,1
194,0
3317,0
4244,0
1183,0
5746,1
3042,0
2545,0
6416,1
633,0
8000,1
3957,0
1356,0
713,0
3475,0
8707,1
2564,0
2252,0
5153,1
3165,0
9842,1
1007,0
9052,1
4108,0
419,0
6117,1
3897,0
9362,1
3876,0
7918,1
2815,0
8696,1
3968,0
6404,1
6630,1
5586,1
3938,0
9872,1
9219,1
9563,1
7114,1
3914,0
5591,1
3541,0
5333,1
6645,1
9665,1
550,0
1033,0
1321,0
3406,0
8438,1
3477,0
176,0
7458,1
8401,1
1009,0
5584,1
1998,0
7432,1
3951,0
2853,0
3994,0
3808,0
4251,0
8164,1
2375,0
3366,0
810,0
1269,0
6767,1
7695,1
7305,1
4015,0
8640,1
6688,1
6987,1
9488,1
2700,0
9439,1
3288,0
1329,0
4492,0
1335,0
9,0
5937,1
7307,1
838,0
9729,1
9592,1
535,0
6605,1
3122,0
9295,1
1651,0
9727,1
6806,1
5181,1
9608,1
2894,0
5929,1
2344,0
2787,0
6445,1
3481,0
1609,0
6325,1
2295,0
6031,1
3352,0
4574,0
8874,1
4059,0
3414,0
4443,0
1312,0
5914,1
8210,1
53,0
3582,0
355,0
7337,1
2948,0
3466,0
8213,1
2188,0
9777,1
8303,1
2962,0
5593,1
5300,1
2011,0
7749,1
6188,1
4948,0
7872,1
2596,0
21,0
3166,0
8743,1
6665,1
467,0
5861,1
9233,1
7416,1
639,0
1463,0
1200,0
1533,0
6060,1
567,0
5344,1
7977,1
2489,0
1465,0
3868,0
9529,1
6199,1
1171,0
5881,1
2852,0
3674,0
3546,0
6388,1
9162,1
7087,1
2532,0
2210,0
4743,0
643,0
2302,0
4644,0
6713,1
7481,1
1417,0
4471,0
917,0
4669,0
9156,1
9812,1
916,0
4952,0
6739,1
3147,0
2174,0
6557,1
6539,1
2067,0
6928,1
2310,0
249,0
2588,0
5,0
5040,1
3743,0
1897,0
8481,1
2340,0
803,0
9675,1
7852,1
9805,1
8248,1
495,0
4613,0
6417,1
8038,1
3467,0
381,0
5021,1
920,0
3826,0
4723,0
6503,1
5777,1
5119,1
945,0
1228,0
2338,0
4830,0
2319,0
6143,1
9385,1
1077,0
5391,1
880,0
9498,1
928,0
3603,0
4559,0
8960,1
5380,1
1900,0
5803,1
8487,1
9967,1
8100,1
7895,1
9590,1
3170,0
6250,1
6661,1
6957,1
3301,0
5047,1
1114,0
5165,1
2653,0
2405,0
4,0
9883,1
5135,1
5540,1
112,0
4860,0
6905,1
8583,1
570,0
6463,1
340,0
2084,0
4237,0
8396,1
8840,1
4009,0
787,0
4120,0
404,0
9703,1
2605,0
8738,1
6845,1
558,0
3797,0
5429,1
8904,1
6632,1
2122,0
7334,1
401,0
8318,1
7217,1
1596,0
5797,1
4673,0
8645,1
8093,1
4207,0
1779,0
9564,1
8845,1
9997,1
4012,0
2695,0
749,0
2003,0
6387,1
3111,0
398,0
8471,1
7789,1
6738,1
5024,1
5293,1
8556,1
3545,0
1499,0
210,0
9422,1
17,0
4641,0
9302,1
1098,0
2643,0
9065,1
552,0
3496,0
9159,1
5297,1
2290,0
2379,0
7405,1
4846,0
5904,1
7593,1
769,0
2363,0
3561,0
5203,1
4493,0
858,0
7564,1
5733,1
2137,0
3290,0
6070,1
537,0
7126,1
4915,0
8986,1
1847,0
1257,0
7562,1
1734,0
6038,1
9051,1
2524,0
608,0
3782,0
8572,1
58,0
4095,0
7801,1
280,0
13,0
9345,1
8394,1
5151,1
5186,1
5648,1
108,0
9363,1
944,0
9497,1
9522,1
8421,1
9430,1
7496,1
7453,1
4263,0
4055,0
4528,0
3796,0
2450,0
8042,1
8378,1
1239,0
1503,0
1193,0
5477,1
6969,1
3479,0
7327,1
7020,1
9174,1
8440,1
1799,0
5118,1
8631,1
2862,0
1892,0
5055,1
9447,1
4356,0
6746,1
2382,0
9910,1
3487,0
701,0
1729,0
8091,1
1717,0
2947,0
260,0
9224,1
3302,0
4762,0
2465,0
4672,0
7879,1
7816,1
1070,0
2094,0
3036,0
2015,0
6098,1
6286,1
8611,1
7421,1
1019,0
2269,0
7883,1
33,0
9462,1
3849,0
288,0
2640,0
2788,0
6254,1
7148,1
4300,0
4953,0
2288,0
1509,0
8769,1
7680,1
3480,0
4805,0
3338,0
6353,1
2157,0
2398,0
1843,0
686,0
3648,0
5242,1
3187,0
8742,1
1042,0
5699,1
6922,1
6088,1
626,0
1494,0
4788,0
753,0
609,0
5702,1
4129,0
1450,0
8233,1
8726,1
8072,1
2434,0
8097,1
6579,1
3279,0
6372,1
5604,1
6091,1
3996,0
849,0
7254,1
9402,1
939,0
9358,1
6147,1
8455,1
2100,0
9152,1
5869,1
8536,1
2159,0
6058,1
1520,0
553,0
9337,1
5002,1
3635,0
7790,1
4663,0
3985,0
5824,1
8152,1
8822,1
7831,1
8347,1
1359,0
6627,1
4450,0
8988,1
1451,0
3033,0
1036,0
8257,1
8849,1
8939,1
8184,1
6379,1
1592,0
3154,0
5496,1
7137,1
4864,0
9717,1
152,0
7809,1
6393,1
889,0
6781,1
9748,1
1280,0
5926,1
77,0
6420,1
677,0
19,0
861,0
7554,1
9517,1
2311,0
4726,0
1010,0
8689,1
9502,1
7202,1
9232,1
5487,1
8183,1
2406,0
5173,1
4685,0
9656,1
9651,1
4932,0
1116,0
9266,1
2512,0
9817,1
9721,1
1552,0
8234,1
2809,0
9343,1
6232,1
7568,1
2562,0
5887,1
6074,1
9680,1
331,0
3232,0
8672,1
4670,0
2930,0
3041,0
9523,1
642,0
4100,0
8364,1
6638,1
8431,1
6600,1
66,0
2811,0
7469,1
9348,1
7175,1
3573,0
6018,1
1137,0
8275,1
4075,0
8530,1
1985,0
5578,1
7197,1
6664,1
6062,1
4500,0
8563,1
6401,1
9555,1
5621,1
7797,1
8885,1
2053,0
7814,1
8490,1
7205,1
6025,1
4977,0
8310,1
5283,1
967,0
7105,1
3113,0
4172,0
1284,0
6947,1
2907,0
9258,1
6197,1
5667,1
1475,0
4149,0
5494,1
25,0
5611,1
4616,0
9750,1
4789,0
7991,1
2235,0
40,0
3513,0
8567,1
7692,1
8291,1
7001,1
4712,0
1240,0
8957,1
6086,1
5980,1
7288,1
8613,1
9796,1
8691,1
5743,1
1296,0
3396,0
7903,1
3785,0
5018,1
6489,1
681,0
3078,0
7472,1
950,0
7200,1
8984,1
1911,0
8686,1
228,0
6295,1
1221,0
2025,0
2554,0
9795,1
255,0
9484,1
1327,0
649,0
6157,1
3368,0
5657,1
2498,0
2936,0
8784,1
9286,1
4258,0
435,0
2499,0
3212,0
8862,1
2703,0
5199,1
4504,0
8138,1
7581,1
2396,0
1816,0
9000,1
7222,1
4246,0
202,0
8831,1
2492,0
9192,1
5156,1
5382,1
2758,0
5163,1
4507,0
6537,1
5479,1
6321,1
5017,1
1650,0
2162,0
3144,0
7010,1
833,0
9594,1
6949,1
3770,0
3874,0
6826,1
7311,1
1891,0
9090,1
2813,0
5256,1
5004,1
6307,1
7545,1
1023,0
3801,0
7233,1
3779,0
2916,0
2655,0
4852,0
2304,0
6613,1
4118,0
1038,0
1785,0
3453,0
5383,1
8136,1
265,0
1293,0
4332,0
9433,1
7292,1
9801,1
6083,1
6265,1
9357,1
6071,1
2134,0
6442,1
7402,1
5798,1
8223,1
7042,1
2245,0
41,0
7987,1
8104,1
6193,1
3436,0
1803,0
7529,1
2240,0
8911,1
624,0
8430,1
7606,1
392,0
8947,1
7328,1
4735,0
2070,0
2271,0
5769,1
1125,0
4515,0
1310,0
7031,1
9505,1
4119,0
2390,0
6201,1
7238,1
1194,0
2150,0
1703,0
6570,1
1755,0
3742,0
4193,0
7301,1
6544,1
5052,1
593,0
1922,0
8051,1
6565,1
6480,1
3398,0
3292,0
8220,1
512,0
2259,0
5258,1
3577,0
1948,0
532,0
631,0
4401,0
9118,1
5197,1
6552,1
7983,1
714,0
1562,0
816,0
7209,1
6001,1
2501,0
5489,1
5547,1
1439,0
3139,0
8185,1
9623,1
8875,1
4091,0
7350,1
6602,1
6253,1
6089,1
4485,0
577,0
8748,1
4773,0
582,0
5450,1
757,0
8265,1
364,0
9709,1
2526,0
4152,0
3818,0
3853,0
3371,0
7025,1
2255,0
7242,1
5698,1
2881,0
444,0
3455,0
3821,0
2747,0
9650,1
3441,0
7362,1
2384,0
7629,1
4592,0
1694,0
7956,1
8269,1
9103,1
9907,1
4542,0
4564,0
555,0
683,0
2165,0
6269,1
2513,0
7973,1
6919,1
4336,0
2133,0
7741,1
3327,0
9285,1
7734,1
2649,0
4479,0
7201,1
2206,0
1464,0
7096,1
9077,1
8338,1
2759,0
3760,0
4874,0
5318,1
2675,0
3694,0
2120,0
7514,1
3537,0
7611,1
8222,1
1368,0
7758,1
4087,0
3986,0
1827,0
5923,1
8887,1
4494,0
70,0
345,0
169,0
4073,0
6036,1
50,0
415,0
5019,1
3855,0
8913,1
9940,1
6380,1
9368,1
8346,1
9637,1
312,0
8716,1
3519,0
4231,0
7708,1
7185,1
2903,0
6315,1
5264,1
3433,0
1180,0
1223,0
8478,1
6779,1
1801,0
3651,0
9915,1
885,0
4695,0
9579,1
6461,1
203,0
1802,0
6504,1
7388,1
1879,0
6066,1
8668,1
5446,1
6936,1
8328,1
1001,0
7969,1
5650,1
742,0
410,0
7826,1
4212,0
9393,1
8606,1
4278,0
2327,0
4373,0
5495,1
685,0
9480,1
9707,1
8456,1
5571,1
7727,1
2190,0
8295,1
4529,0
8830,1
8889,1
8795,1
3554,0
4417,0
1270,0
638,0
697,0
2261,0
6340,1
4457,0
8017,1
4761,0
1693,0
7216,1
3349,0
9265,1
9880,1
3186,0
2967,0
4018,0
5259,1
9643,1
9395,1
9214,1
6837,1
1780,0
8529,1
3911,0
5602,1
4801,0
1388,0
906,0
2546,0
2534,0
6048,1
8010,1
421,0
5771,1
4533,0
8896,1
6533,1
1090,0
281,0
560,0
3718,0
439,0
215,0
9183,1
8690,1
520,0
9069,1
6640,1
4447,0
2586,0
441,0
9132,1
4475,0
3795,0
3374,0
5826,1
7398,1
9292,1
1635,0
7702,1
402,0
7273,1
4233,0
1069,0
9979,1
4638,0
5608,1
1932,0
5096,1
5032,1
8676,1
7215,1
6176,1
6838,1
1190,0
6259,1
9961,1
9181,1
5367,1
9531,1
3365,0
6998,1
2199,0
994,0
6548,1
709,0
8006,1
3657,0
1818,0
1466,0
5892,1
8620,1
2102,0
2496,0
6106,1
5605,1
7779,1
1429,0
2110,0
4371,0
1005,0
1958,0
6759,1
4066,0
1792,0
2366,0
1928,0
2443,0
5103,1
1074,0
9745,1
1054,0
6430,1
6029,1
568,0
2679,0
9490,1
316,0
6653,1
4943,0
4928,0
9609,1
4451,0
9121,1
6870,1
4495,0
961,0
2763,0
6344,1
2984,0
9809,1
8658,1
8730,1
5874,1
7192,1
9342,1
6468,1
3137,0
2132,0
