,Subdomain_Level,Url_Length,Have_At_Sign,Have_Tilde_Symbol,No_Https,Having_IP,Domain_In_Subdomains,Domain_In_Paths,Http_In_Hostname,Double_Slash_In_Path,Num_Dots,Num_Dashes_In_Hostname,Num_Underscore,Num_Percent,Num_Query_Components,Num_Ampersand,Num_Hash,Num_Numeric_Chars,Path_Length,Query_Length,Num_Sensitive_Words,Ext_Favicon,Redirection,Tiny_URL,Prefix_Suffix,DNS,Domain_Age,Domain_End,Rank_Host,Rank_Country,Iframe,Mouse_Over,Right_Click,Forwarding
11695,1,28,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
5766,1,378,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,49,9,343,0,0,0,0,0,0,0,1,1,1,0,0,0,0
731,1,841,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,133,9,807,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9082,1,46,0,0,0,0,1,1,0,0,2,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
467,1,25,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7145,1,43,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
8144,1,71,0,0,0,0,1,1,0,0,4,3,0,0,1,0,0,2,10,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0
5126,1,52,0,0,0,0,1,1,0,0,3,2,0,0,1,0,0,0,16,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0
10796,1,45,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
7534,1,33,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
8776,1,77,0,0,0,0,1,1,0,0,5,4,0,0,1,0,0,23,9,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
478,1,187,0,0,1,0,0,1,0,0,2,0,0,0,3,2,0,2,6,155,1,0,1,0,0,0,0,1,1,1,1,1,1,1
7709,1,20,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
6720,1,42,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
11663,1,28,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4671,1,137,0,0,0,0,1,1,0,0,3,0,5,0,4,3,0,0,25,91,1,0,0,0,0,0,0,1,1,1,1,1,1,1
