,Have_IP,Have_At,URL_Length,Redirection,https_Domain,TinyURL,Prefix_Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards
7835,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18587,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
14940,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
35652,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
24539,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
8428,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35372,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
11397,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
13548,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1
1601,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27035,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
21623,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
36862,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
13926,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
7571,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
28218,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
11232,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
9680,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34050,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
19914,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7783,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
701,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
36750,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
32370,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
13310,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
23585,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
6037,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
18134,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
16659,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
16098,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
11703,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19794,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
34792,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
35796,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10949,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
4978,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22164,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
8160,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12272,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
20866,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39716,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10079,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20043,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
7771,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15502,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
40726,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
